<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
21/09/18,112630,112660,112610,112660
21/09/18,112660,112660,112620,112660
21/09/18,112640,112650,112610,112630
21/09/18,112630,112640,112590,112590
21/09/18,112610,112610,112570,112580
21/09/18,112590,112640,112590,112620
21/09/18,112630,112650,112620,112640
21/09/18,112650,112680,112630,112660
21/09/18,112660,112670,112610,112620
21/09/18,112610,112620,112590,112610
21/09/18,112620,112630,112590,112620
21/09/18,112640,112660,112610,112640
21/09/18,112640,112650,112600,112640
21/09/18,112640,112680,112630,112660
21/09/18,112650,112670,112640,112660
21/09/18,112660,112690,112660,112670
21/09/18,112680,112730,112660,112670
21/09/18,112690,112710,112660,112700
21/09/18,112680,112690,112640,112670
21/09/18,112670,112690,112640,112690
21/09/18,112690,112730,112660,112710
21/09/18,112710,112730,112660,112670
21/09/18,112680,112690,112660,112670
21/09/18,112680,112680,112650,112650
21/09/18,112660,112670,112600,112600
21/09/18,112600,112620,112570,112610
21/09/18,112600,112640,112600,112630
21/09/18,112640,112650,112620,112620
21/09/18,112630,112710,112630,112690
21/09/18,112690,112710,112660,112670
21/09/18,112680,112690,112630,112670
21/09/18,112670,112670,112610,112630
21/09/18,112630,112650,112600,112630
21/09/18,112630,112630,112540,112580
21/09/18,112570,112640,112540,112630
21/09/18,112630,112640,112620,112620
21/09/18,112610,112610,112540,112540
21/09/18,112540,112600,112520,112550
21/09/18,112560,112560,112520,112530
21/09/18,112530,112550,112510,112540
21/09/18,112540,112600,112530,112590
21/09/18,112590,112610,112550,112560
21/09/18,112550,112560,112530,112560
21/09/18,112560,112580,112530,112570
21/09/18,112580,112600,112570,112600
21/09/18,112610,112620,112570,112590
21/09/18,112590,112620,112590,112590
21/09/18,112600,112600,112570,112570
21/09/18,112560,112570,112510,112510
21/09/18,112520,112530,112480,112480
21/09/18,112490,112490,112330,112340
21/09/18,112350,112370,112260,112270
21/09/18,112280,112360,112240,112350
21/09/18,112330,112390,112310,112360
21/09/18,112370,112440,112350,112380
21/09/18,112390,112400,112350,112360
21/09/18,112370,112380,112310,112310
21/09/18,112330,112380,112310,112360
21/09/18,112360,112480,112330,112470
21/09/18,112470,112480,112370,112410
21/09/18,112420,112480,112380,112480
21/09/18,112480,112520,112420,112490
21/09/18,112490,112510,112400,112410
